period_id,dimension_type,dimension_id,dimension_name,metric_id,metric_value,source_class,metric_version
2026-W30,tag,collaboration-duolingo,多邻国,likes_median,2316,brand,bi-metric-v1.2
2026-W30,tag,collaboration-duolingo,多邻国,likes_p75,2575,brand,bi-metric-v1.2
2026-W30,tag,collaboration-honor-of-kings,王者荣耀,event_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-honor-of-kings,王者荣耀,content_count,9,brand,bi-metric-v1.2
2026-W30,tag,collaboration-honor-of-kings,王者荣耀,active_brand_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-honor-of-kings,王者荣耀,likes_valid_count,9,brand,bi-metric-v1.2
2026-W30,tag,collaboration-honor-of-kings,王者荣耀,likes_median,1001,brand,bi-metric-v1.2
2026-W30,tag,collaboration-honor-of-kings,王者荣耀,likes_p75,1367,brand,bi-metric-v1.2
2026-W30,tag,collaboration-crocs,Crocs,event_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-crocs,Crocs,content_count,7,brand,bi-metric-v1.2
2026-W30,tag,collaboration-crocs,Crocs,active_brand_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-crocs,Crocs,likes_valid_count,7,brand,bi-metric-v1.2
2026-W30,tag,collaboration-crocs,Crocs,likes_median,851,brand,bi-metric-v1.2
2026-W30,tag,collaboration-crocs,Crocs,likes_p75,1137.5,brand,bi-metric-v1.2
2026-W30,tag,collaboration-miffy,米菲,event_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-miffy,米菲,content_count,2,brand,bi-metric-v1.2
2026-W30,tag,collaboration-miffy,米菲,active_brand_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-miffy,米菲,likes_valid_count,2,brand,bi-metric-v1.2
2026-W30,tag,collaboration-miffy,米菲,likes_median,1075.5,brand,bi-metric-v1.2
2026-W30,tag,collaboration-miffy,米菲,likes_p75,1377.75,brand,bi-metric-v1.2
2026-W30,tag,collaboration-sanrio,三丽鸥,event_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-sanrio,三丽鸥,content_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-sanrio,三丽鸥,active_brand_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-sanrio,三丽鸥,likes_valid_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-sanrio,三丽鸥,likes_median,1065,brand,bi-metric-v1.2
2026-W30,tag,collaboration-sanrio,三丽鸥,likes_p75,1065,brand,bi-metric-v1.2
2026-W30,tag,collaboration-spider-man,蜘蛛侠,event_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-spider-man,蜘蛛侠,content_count,18,brand,bi-metric-v1.2
2026-W30,tag,collaboration-spider-man,蜘蛛侠,active_brand_count,1,brand,bi-metric-v1.2
2026-W30,tag,collaboration-spider-man,蜘蛛侠,likes_valid_count,18,brand,bi-metric-v1.2
2026-W30,tag,collaboration-spider-man,蜘蛛侠,likes_median,478.5,brand,bi-metric-v1.2
2026-W30,tag,collaboration-spider-man,蜘蛛侠,likes_p75,1223.5,brand,bi-metric-v1.2
2026-W30,tag,brand-new-format,新店型,event_count,3,brand,bi-metric-v1.2
2026-W30,tag,brand-new-format,新店型,content_count,3,brand,bi-metric-v1.2
2026-W30,tag,brand-new-format,新店型,active_brand_count,2,brand,bi-metric-v1.2
2026-W30,tag,brand-new-format,新店型,likes_valid_count,3,brand,bi-metric-v1.2
